"행정구역","2024년_거주자_총인구수","2024년_거주자_연령구간인구수","2024년_거주자_0~9세","2024년_거주자_10~19세","2024년_거주자_20~29세","2024년_거주자_30~39세","2024년_거주자_40~49세","2024년_거주자_50~59세","2024년_거주자_60~69세","2024년_거주자_70~79세","2024년_거주자_80~89세","2024년_거주자_90~99세","2024년_거주자_100세 이상","2024년_남_거주자_총인구수","2024년_남_거주자_연령구간인구수","2024년_남_거주자_0~9세","2024년_남_거주자_10~19세","2024년_남_거주자_20~29세","2024년_남_거주자_30~39세","2024년_남_거주자_40~49세","2024년_남_거주자_50~59세","2024년_남_거주자_60~69세","2024년_남_거주자_70~79세","2024년_남_거주자_80~89세","2024년_남_거주자_90~99세","2024년_남_거주자_100세 이상","2024년_여_거주자_총인구수","2024년_여_거주자_연령구간인구수","2024년_여_거주자_0~9세","2024년_여_거주자_10~19세","2024년_여_거주자_20~29세","2024년_여_거주자_30~39세","2024년_여_거주자_40~49세","2024년_여_거주자_50~59세","2024년_여_거주자_60~69세","2024년_여_거주자_70~79세","2024년_여_거주자_80~89세","2024년_여_거주자_90~99세","2024년_여_거주자_100세 이상","2025년_거주자_총인구수","2025년_거주자_연령구간인구수","2025년_거주자_0~9세","2025년_거주자_10~19세","2025년_거주자_20~29세","2025년_거주자_30~39세","2025년_거주자_40~49세","2025년_거주자_50~59세","2025년_거주자_60~69세","2025년_거주자_70~79세","2025년_거주자_80~89세","2025년_거주자_90~99세","2025년_거주자_100세 이상","2025년_남_거주자_총인구수","2025년_남_거주자_연령구간인구수","2025년_남_거주자_0~9세","2025년_남_거주자_10~19세","2025년_남_거주자_20~29세","2025년_남_거주자_30~39세","2025년_남_거주자_40~49세","2025년_남_거주자_50~59세","2025년_남_거주자_60~69세","2025년_남_거주자_70~79세","2025년_남_거주자_80~89세","2025년_남_거주자_90~99세","2025년_남_거주자_100세 이상","2025년_여_거주자_총인구수","2025년_여_거주자_연령구간인구수","2025년_여_거주자_0~9세","2025년_여_거주자_10~19세","2025년_여_거주자_20~29세","2025년_여_거주자_30~39세","2025년_여_거주자_40~49세","2025년_여_거주자_50~59세","2025년_여_거주자_60~69세","2025년_여_거주자_70~79세","2025년_여_거주자_80~89세","2025년_여_거주자_90~99세","2025년_여_거주자_100세 이상"
"경기도 성남시 수정구 수진2동(4113158000)","14,464","14,464","453","841","1,872","1,837","1,836","2,419","2,795","1,639","695","74","3","7,298","7,298","243","428","974","1,059","948","1,232","1,355","751","287","19","2","7,166","7,166","210","413","898","778","888","1,187","1,440","888","408","55","1","14,242","14,242","425","787","1,763","1,833","1,747","2,318","2,817","1,745","722","83","2","7,159","7,159","224","404","916","1,057","915","1,161","1,372","791","293","24","2","7,083","7,083","201","383","847","776","832","1,157","1,445","954","429","59","0"
"경기도 성남시 수정구 단대동(4113159000)","14,306","14,306","695","1,086","1,701","1,957","2,066","2,450","2,360","1,332","587","71","1","7,025","7,025","360","582","858","1,042","1,071","1,204","1,116","552","221","19","0","7,281","7,281","335","504","843","915","995","1,246","1,244","780","366","52","1","14,116","14,116","631","1,052","1,599","1,903","1,980","2,428","2,384","1,430","623","85","1","6,939","6,939","329","554","833","1,012","1,022","1,175","1,148","614","230","22","0","7,177","7,177","302","498","766","891","958","1,253","1,236","816","393","63","1"
"경기도 성남시 수정구 산성동(4113160000)","4,501","4,501","183","369","520","528","630","784","762","485","217","22","1","2,259","2,259","94","198","274","288","340","395","365","218","83","4","0","2,242","2,242","89","171","246","240","290","389","397","267","134","18","1","4,374","4,374","165","330","499","522","587","754","765","502","226","23","1","2,184","2,184","87","181","254","292","322","391","347","222","82","6","0","2,190","2,190","78","149","245","230","265","363","418","280","144","17","1"
"경기도 성남시 수정구 양지동(4113161000)","9,015","9,015","307","712","1,240","924","1,257","1,678","1,518","905","420","51","3","4,440","4,440","156","357","619","511","628","859","732","398","164","15","1","4,575","4,575","151","355","621","413","629","819","786","507","256","36","2","8,867","8,867","250","686","1,166","915","1,171","1,679","1,554","957","432","55","2","4,348","4,348","123","349","568","503","592","855","750","422","172","13","1","4,519","4,519","127","337","598","412","579","824","804","535","260","42","1"
"경기도 성남시 수정구 복정동(4113162000)","10,114","10,114","392","462","2,302","1,939","1,649","1,526","1,077","551","177","36","3","5,683","5,683","197","240","1,279","1,199","975","886","549","270","83","5","0","4,431","4,431","195","222","1,023","740","674","640","528","281","94","31","3","10,378","10,378","418","458","2,365","2,033","1,613","1,580","1,059","606","209","35","2","5,808","5,808","211","221","1,316","1,249","957","922","534","295","95","8","0","4,570","4,570","207","237","1,049","784","656","658","525","311","114","27","2"
"경기도 성남시 수정구 위례동(4113162500)","45,643","45,643","4,395","4,679","4,442","7,232","8,285","6,797","5,979","2,696","942","192","4","22,088","22,088","2,231","2,273","2,138","3,394","4,108","3,339","2,876","1,318","369","41","1","23,555","23,555","2,164","2,406","2,304","3,838","4,177","3,458","3,103","1,378","573","151","3","45,322","45,322","4,089","4,892","4,104","6,932","8,288","6,719","6,028","3,054","994","217","5","21,951","21,951","2,122","2,416","1,966","3,244","4,075","3,326","2,864","1,487","405","44","2","23,371","23,371","1,967","2,476","2,138","3,688","4,213","3,393","3,164","1,567","589","173","3"
"경기도 성남시 수정구 신촌동(4113163000)","4,488","4,488","433","426","712","854","644","568","504","235","94","17","1","2,368","2,368","217","214","456","460","351","279","228","117","41","4","1","2,120","2,120","216","212","256","394","293","289","276","118","53","13","0","4,484","4,484","429","407","703","883","611","587","505","240","101","18","0","2,376","2,376","223","212","444","487","320","292","229","121","42","6","0","2,108","2,108","206","195","259","396","291","295","276","119","59","12","0"
"경기도 성남시 수정구 고등동(4113164000)","11,669","11,669","1,237","727","1,317","2,534","1,877","1,601","1,326","752","252","45","1","5,718","5,718","631","348","621","1,256","971","782","651","373","76","9","0","5,951","5,951","606","379","696","1,278","906","819","675","379","176","36","1","11,748","11,748","1,160","762","1,260","2,543","1,881","1,654","1,356","813","276","43","0","5,750","5,750","576","382","599","1,257","957","810","665","399","97","8","0","5,998","5,998","584","380","661","1,286","924","844","691","414","179","35","0"
"경기도 성남시 수정구 시흥동(4113165000)","3,362","3,362","125","123","604","759","422","411","487","299","117","15","0","1,787","1,787","63","67","321","444","232","217","238","149","51","5","0","1,575","1,575","62","56","283","315","190","194","249","150","66","10","0","3,509","3,509","124","133","618","788","459","413","492","336","127","19","0","1,898","1,898","64","66","331","477","258","227","237","175","56","7","0","1,611","1,611","60","67","287","311","201","186","255","161","71","12","0"
"경기도 성남시 중원구 (4113300000)","205,808","205,808","11,135","14,212","25,559","31,360","29,708","34,584","33,701","17,228","7,344","944","33","103,663","103,663","5,601","7,322","13,202","16,969","15,575","17,484","16,526","7,972","2,803","202","7","102,145","102,145","5,534","6,890","12,357","14,391","14,133","17,100","17,175","9,256","4,541","742","26","202,429","202,429","10,292","13,945","23,734","31,120","28,748","33,413","33,889","18,595","7,617","1,036","40","101,736","101,736","5,196","7,202","12,164","16,816","15,108","16,944","16,544","8,577","2,949","227","9","100,693","100,693","5,096","6,743","11,570","14,304","13,640","16,469","17,345","10,018","4,668","809","31"
"경기도 성남시 중원구 성남동(4113351000)","32,019","32,019","999","1,681","5,067","5,611","4,212","5,090","5,076","2,790","1,326","165","2","16,713","16,713","489","849","2,641","3,300","2,305","2,698","2,576","1,289","526","39","1","15,306","15,306","510","832","2,426","2,311","1,907","2,392","2,500","1,501","800","126","1","31,631","31,631","931","1,627","4,744","5,567","4,075","4,983","5,138","2,963","1,409","191","3","16,468","16,468","460","826","2,475","3,255","2,235","2,640","2,586","1,368","583","38","2","15,163","15,163","471","801","2,269","2,312","1,840","2,343","2,552","1,595","826","153","1"
"경기도 성남시 중원구 중앙동(4113352500)","16,565","16,565","1,399","1,139","1,595","2,706","2,758","2,649","2,381","1,351","511","75","1","8,396","8,396","707","589","842","1,378","1,463","1,381","1,181","626","212","17","0","8,169","8,169","692","550","753","1,328","1,295","1,268","1,200","725","299","58","1","16,446","16,446","1,305","1,163","1,527","2,690","2,684","2,619","2,405","1,433","544","73","3","8,319","8,319","679","585","803","1,360","1,446","1,353","1,194","665","216","17","1","8,127","8,127","626","578","724","1,330","1,238","1,266","1,211","768","328","56","2"
"경기도 성남시 중원구 금광1동(4113353000)","19,534","19,534","2,299","1,138","1,791","4,344","3,402","2,527","2,507","1,099","364","61","2","9,573","9,573","1,136","563","841","2,156","1,840","1,197","1,169","530","127","14","0","9,961","9,961","1,163","575","950","2,188","1,562","1,330","1,338","569","237","47","2","19,551","19,551","2,226","1,141","1,706","4,256","3,495","2,518","2,530","1,227","385","65","2","9,594","9,594","1,110","577","800","2,073","1,895","1,213","1,186","581","144","15","0","9,957","9,957","1,116","564","906","2,183","1,600","1,305","1,344","646","241","50","2"
